Date,UK
2002-11-25,2397.70278180512
2002-11-26,2361.8362634069695
2002-11-27,2379.5447214632545
2002-11-28,2419.688108825852
2002-11-29,2414.4438645145406
2002-12-02,2404.893468237706
2002-12-03,2377.5718368005046
2002-12-04,2368.10636884217
2002-12-05,2357.8384335020573
2002-12-06,2353.2370696050025
2002-12-09,2309.8566336346644
2002-12-10,2298.4530157259787
2002-12-11,2333.1919214692066
2002-12-12,2311.755073659034
2002-12-13,2296.6810860354517
2002-12-16,2355.877107163986
2002-12-17,2325.2846409362887
2002-12-18,2287.5918811479587
2002-12-19,2291.1825203937065
2002-12-20,2321.3322032296524
2002-12-23,2332.4003301191187
2002-12-24,2341.297026987372
2002-12-25,2341.297026987372
2002-12-26,2340.857126500057
2002-12-27,2284.1900411667343
2002-12-30,2329.476770486602
2002-12-31,2362.3370174041106
2003-01-01,2362.3370174041106
2003-01-02,2382.728331333439
2003-01-03,2389.7804937783817
2003-01-06,2401.104455205326
2003-01-07,2370.219179253472
2003-01-08,2340.3579898208363
2003-01-09,2357.3488790831484
2003-01-10,2384.1981165071843
2003-01-13,2365.6735047743305
2003-01-14,2369.561725273387
2003-01-15,2329.0150379344873
2003-01-16,2328.555154373882
2003-01-17,2308.468080625679
2003-01-20,2270.0734115155137
2003-01-21,2246.4628155399364
2003-01-22,2217.955500272509
2003-01-23,2198.836158465779
2003-01-24,2198.8579573937313
2003-01-27,2125.987795205624
2003-01-28,2140.2898825848497
2003-01-29,2148.2072988620776
2003-01-30,2204.0435245807967
2003-01-31,2195.7329196903734
2003-02-03,2259.911439299924
2003-02-04,2211.1138135165097
2003-02-05,2261.6093584880455
2003-02-06,2204.436593607602
2003-02-07,2194.099912583757
2003-02-10,2179.772521354909
2003-02-11,2217.350282483588
2003-02-12,2184.2782006177013
2003-02-13,2187.0514943263743
2003-02-14,2176.215949438444
2003-02-17,2206.369560264168
2003-02-18,2217.0989356287228
2003-02-19,2183.352877341855
2003-02-20,2199.0563344350003
2003-02-21,2218.989397680845
2003-02-24,2195.377308584172
2003-02-25,2130.6498403334567
2003-02-26,2133.7535533803416
2003-02-27,2114.723443880139
2003-02-28,2160.3561984010794
2003-03-03,2185.517732460638
2003-03-04,2151.937997259324
2003-03-05,2143.667253639512
2003-03-06,2141.8329663421387
2003-03-07,2106.6654092620865
2003-03-10,2066.135452411551
2003-03-11,2083.1022133875226
2003-03-12,1999.236476880913
2003-03-13,2107.12746521629
2003-03-14,2149.0127077531847
2003-03-17,2207.2385167487737
2003-03-18,2206.091962773415
2003-03-19,2222.095024406495
2003-03-20,2225.3646339367015
2003-03-21,2276.7652901236247
2003-03-24,2227.4469816275255
2003-03-25,2231.8677920543932
2003-03-26,2253.2918299151347
2003-03-27,2211.8053782213146
2003-03-28,2196.468891863097
2003-03-31,2158.266227944964
2003-04-01,2189.736195851661
2003-04-02,2226.3402327912645
2003-04-03,2238.082545080129
2003-04-04,2252.245405835932
2003-04-07,2306.075661680167
2003-04-08,2267.800782358278
2003-04-09,2271.148245058105
2003-04-10,2262.4959002128285
2003-04-11,2262.165811293243
2003-04-14,2292.293614919695
2003-04-15,2327.132510537853
2003-04-16,2301.3886597400056
2003-04-17,2324.657726265644
2003-04-18,2324.657726265644
2003-04-21,2302.6457346212987
2003-04-22,2341.0860949534476
2003-04-23,2379.451675835534
2003-04-24,2359.568051930508
2003-04-25,2337.5845187484565
2003-04-28,2378.4713089574097
2003-04-29,2371.0691068630804
2003-04-30,2382.7669361315843
2003-05-01,2373.307882412017
2003-05-02,2406.787806516507
2003-05-05,2411.291245311211
2003-05-06,2458.464375212367
