Date,GERMANY
2015-04-29,5402.0416180625825
2015-04-30,5436.85043917194
2015-05-01,5445.09875093544
2015-05-04,5483.85270943005
2015-05-05,5362.548611996358
2015-05-06,5444.732936290724
2015-05-07,5422.523636182191
2015-05-08,5541.841456413042
2015-05-11,5495.409647650852
2015-05-12,5448.618480680523
2015-05-13,5444.421623609674
2015-05-14,5551.450018297137
2015-05-15,5532.235446930911
2015-05-18,5563.397835193699
2015-05-19,5572.228967548298
2015-05-20,5553.602640667448
2015-05-21,5566.755740539982
2015-05-22,5494.103229876127
2015-05-25,5494.103229876127
2015-05-26,5347.329999149368
2015-05-27,5403.861901221845
2015-05-28,5378.10822412163
2015-05-29,5282.902343869665
2015-06-01,5265.158579945357
2015-06-02,5325.6658358936775
2015-06-03,5427.698846108908
2015-06-04,5398.794826676031
2015-06-05,5247.637827212551
2015-06-08,5230.294627120125
2015-06-09,5220.865112529263
2015-06-10,5369.952597951204
2015-06-11,5371.485322950515
2015-06-12,5322.307361150449
2015-06-15,5213.77663506161
2015-06-16,5232.7516516227015
2015-06-17,5199.545189681683
2015-06-18,5332.227060969437
2015-06-19,5272.330615051836
2015-06-22,5497.736587962033
2015-06-23,5437.497597177023
2015-06-24,5406.214208325376
2015-06-25,5412.118853311706
2015-06-26,5396.317058825074
2015-06-29,5213.815728080778
2015-06-30,5145.117866651304
2015-07-01,5236.369164713623
2015-07-02,5199.497652900735
2015-07-03,5179.5034778506815
2015-07-06,5092.303699028818
2015-07-07,4937.832208963264
2015-07-08,5023.279961456373
2015-07-09,5130.48444871799
2015-07-10,5334.651470389556
2015-07-13,5334.86210725772
2015-07-14,5343.848079080137
2015-07-15,5333.18463025486
2015-07-16,5386.994804140423
2015-07-17,5346.837837220825
2015-07-20,5379.3494000874725
2015-07-21,5353.940634803562
2015-07-22,5296.967772893965
2015-07-23,5334.173762515308
2015-07-24,5257.77044705845
2015-07-27,5188.661609674516
2015-07-28,5215.872160972689
2015-07-29,5232.983002070384
2015-07-30,5200.09920852039
2015-07-31,5283.406152529648
2015-08-03,5312.226081023627
2015-08-04,5316.876853177446
2015-08-05,5347.3219945191895
2015-08-06,5349.0379007765
2015-08-07,5312.999818575498
2015-08-10,5384.468860948591
2015-08-11,5276.167217329914
2015-08-12,5170.907081281297
2015-08-13,5191.636256166494
2015-08-14,5175.158030776711
2015-08-17,5138.314695619719
2015-08-18,5109.356431212905
2015-08-19,5014.7069561109465
2015-08-20,4961.1110620894615
2015-08-21,4866.843814701244
2015-08-24,4753.049886472427
2015-08-25,4910.780047091102
2015-08-26,4847.262397055376
2015-08-27,4913.836290214804
2015-08-28,4909.907418569133
2015-08-31,4886.849661197951
2015-09-01,4795.651368863733
2015-09-02,4801.352908115925
2015-09-03,4867.9083671373255
2015-09-04,4745.804469536537
2015-09-07,4794.935198831738
2015-09-08,4881.685296684233
2015-09-09,4892.50184849379
2015-09-10,4876.246346056405
2015-09-11,4861.480471957536
2015-09-14,4866.052258525917
2015-09-15,4883.997316852872
2015-09-16,4915.417008407387
2015-09-17,4925.37757562138
2015-09-18,4811.674417590026
2015-09-21,4741.16539638644
2015-09-22,4534.862335773471
2015-09-23,4559.641307134973
2015-09-24,4531.379470694022
2015-09-25,4606.328674398195
2015-09-28,4523.362541547863
2015-09-29,4509.24472663284
2015-09-30,4584.778540950924
2015-10-01,4533.206042990327
2015-10-02,4580.686134375762
2015-10-05,4678.605648649449
2015-10-06,4741.640549194108
2015-10-07,4758.720655905126
2015-10-08,4789.1583354374325
2015-10-09,4868.039378514389
2015-10-12,4884.2098911352805
2015-10-13,4840.958630036322
2015-10-14,4813.262364598646
2015-10-15,4860.652917921383
2015-10-16,4870.470981342439
2015-10-19,4869.799866647465
2015-10-20,4873.874123000081
2015-10-21,4921.959482640658
2015-10-22,4955.547945436503
2015-10-23,5037.3207289701795
2015-10-26,5047.761181076452
2015-10-27,4995.996770648361
2015-10-28,5070.000012717263
2015-10-29,5015.3532395332195
2015-10-30,5071.631355744929
2015-11-02,5112.046146552181
2015-11-03,5070.212138598402
2015-11-04,4977.437766650183
2015-11-05,4995.638542856108
2015-11-06,4980.085287364547
2015-11-09,4903.802592528322
2015-11-10,4887.415985623186
2015-11-11,4933.712473364242
2015-11-12,4890.631421657083
2015-11-13,4848.514290529739
2015-11-16,4847.837097140797
2015-11-17,4933.5757192880055
2015-11-18,4927.986378098832
2015-11-19,5024.900513847266
2015-11-20,5008.457136705489
2015-11-23,4971.705459336779
2015-11-24,4912.879582570788
2015-11-25,4998.536919354988
2015-11-26,5072.101541814799
2015-11-27,5048.750570536623
2015-11-30,5072.153099364957
2015-12-01,5042.013598656867
2015-12-02,4994.686227618525
2015-12-03,4951.435731740325
